Stock quote and option quote for PLTR on 4/4/25 14:50:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
74.0099,D,-9.5901,73.99,Q,74.00,Q,2 x 2,"135,205,902",80.07,80.98,71.9303

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
"2,000",<empty>,389.5,<empty>,--,,125.41,20.33,"2,345,356,506",2.068

4 APR 25  (0)  100 (Weeklys)
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,112.26%,98.81%,1.19%,.02,48,<empty>,.06,N,.08,P,11 APR 25,104,28.95,P,31.00,Z,--,0.00%,100.00%,-1.00,37,40.49%,,
,,113.75%,98.91%,1.09%,.02,"1,209",<empty>,.06,P,.07,S,11 APR 25,105,29.90,B,31.95,Z,--,0.00%,100.00%,-1.00,46,41.75%,,
,,132.36%,97.96%,2.04%,.03,27,<empty>,.02,M,.29,Z,11 APR 25,106,30.95,B,33.50,Z,170.97%,5.14%,94.86%,-.88,<empty>,43.68%,,
,,139.17%,97.75%,2.25%,.04,13,<empty>,.04,D,.33,U,11 APR 25,107,32.00,P,33.80,P,--,0.00%,100.00%,-1.00,<empty>,44.40%,,
,,130.80%,98.50%,1.50%,.02,36,<empty>,.02,M,.20,B,11 APR 25,108,32.00,Q,35.50,Q,--,0.00%,100.00%,-1.00,<empty>,45.45%,,
,,136.82%,98.35%,1.65%,.03,<empty>,<empty>,.01,M,.25,B,11 APR 25,109,33.00,Q,36.50,Q,--,0.00%,100.00%,-1.00,30,46.80%,,
,,122.15%,99.23%,0.77%,.01,517,<empty>,.04,D,.06,P,11 APR 25,110,34.00,Z,37.50,Z,--,0.00%,100.00%,-1.00,14,48.15%,,
,,123.38%,99.61%,0.39%,.01,248,<empty>,.01,D,.04,S,11 APR 25,115,39.00,Q,42.50,Q,--,0.00%,100.00%,-1.00,<empty>,54.88%,,
,,133.68%,99.65%,0.35%,.01,357,<empty>,.02,Q,.03,Q,11 APR 25,120,44.45,Q,46.85,Q,--,0.00%,100.00%,-1.00,<empty>,61.40%,,
,,136.48%,99.79%,0.21%,.00,192,<empty>,.01,U,.02,U,11 APR 25,125,49.00,Q,52.50,Q,--,0.00%,100.00%,-1.00,<empty>,68.35%,,
,,149.23%,99.76%,0.24%,.00,21,<empty>,.01,H,.03,U,11 APR 25,130,54.00,Q,57.50,Q,--,0.00%,100.00%,-1.00,<empty>,75.08%,,
,,139.41%,99.93%,0.07%,.00,<empty>,<empty>,0,Z,.01,Z,11 APR 25,135,59.00,Q,62.50,Q,--,0.00%,100.00%,-1.00,<empty>,81.82%,,
,,176.06%,99.68%,0.32%,.01,1,<empty>,0,W,.07,U,11 APR 25,140,64.90,Z,66.95,Z,--,0.00%,100.00%,-1.00,<empty>,89.00%,,
,,193.77%,99.58%,0.42%,.01,5,<empty>,0,W,.11,E,11 APR 25,145,68.90,Q,72.05,Q,--,0.00%,100.00%,-1.00,<empty>,94.57%,,

17 APR 25  (13)  100
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,408.45%,7.35%,92.65%,.99,78,<empty>,55.20,Z,57.55,Z,17 APR 25,18,0,J,.01,W,244.67%,99.77%,0.23%,.00,<empty>,0.03%,,
,,363.99%,5.08%,94.92%,.99,<empty>,<empty>,54.00,Q,56.50,Q,17 APR 25,19,0,U,.01,U,235.53%,99.77%,0.23%,.00,<empty>,0.03%,,
,,350.45%,4.95%,95.05%,.99,2,<empty>,53.00,Z,55.50,Q,17 APR 25,20,0,Z,.01,Z,226.86%,99.78%,0.22%,.00,"1,106",0.03%,,
,,323.94%,3.95%,96.05%,.99,119,<empty>,52.00,X,54.40,Z,17 APR 25,21,0,Q,.15,E,289.73%,97.89%,2.11%,.00,<empty>,0.36%,,
,,356.24%,7.08%,92.92%,.98,124,<empty>,51.05,X,53.75,Q,17 APR 25,22,0,Q,.15,E,279.41%,97.93%,2.07%,-.01,<empty>,0.34%,,
,,324.77%,5.46%,94.54%,.99,399,<empty>,50.15,Z,52.45,Q,17 APR 25,23,0,P,.16,E,271.99%,97.84%,2.16%,-.01,3,0.35%,,
,,327.39%,6.48%,93.52%,.98,73,<empty>,49.20,Z,51.55,Z,17 APR 25,24,0,P,.03,E,217.00%,99.46%,0.54%,.00,2,0.06%,,
,,307.16%,5.66%,94.34%,.98,45,<empty>,48.05,X,50.60,Q,17 APR 25,25,.01,N,.04,E,220.70%,99.18%,0.82%,.00,182,0.10%,,
,,291.89%,5.20%,94.80%,.99,340,<empty>,47.00,Q,49.60,Q,17 APR 25,26,0,X,.03,D,202.14%,99.47%,0.53%,.00,2,0.06%,,
,,253.66%,3.08%,96.92%,.99,1,<empty>,45.90,X,48.45,Z,17 APR 25,27,0,U,.04,B,201.15%,99.32%,0.68%,.00,8,0.07%,,
,,262.48%,4.30%,95.70%,.99,<empty>,<empty>,44.85,X,47.65,Q,17 APR 25,28,.01,M,.12,N,222.51%,98.25%,1.75%,-.01,12,0.23%,,
,,301.44%,8.62%,91.38%,.97,219,<empty>,44.10,Q,47.05,Z,17 APR 25,29,.01,M,.19,M,227.73%,97.55%,2.45%,-.01,7,0.35%,,
,,269.44%,6.38%,93.62%,.98,19,<empty>,43.20,Z,45.60,Q,17 APR 25,30,.03,E,.04,D,192.57%,98.95%,1.05%,.00,280,0.12%,,
,,240.88%,4.56%,95.44%,.98,1,<empty>,41.90,Q,44.65,Q,17 APR 25,31,.02,M,.41,M,238.99%,95.60%,4.40%,-.02,3,0.70%,,
,,254.84%,6.61%,93.39%,.98,1,<empty>,41.30,Z,43.55,Q,17 APR 25,32,.03,M,.06,D,185.05%,98.71%,1.29%,.00,1,0.14%,,
,,249.35%,6.89%,93.11%,.97,3,<empty>,40.00,X,42.90,Q,17 APR 25,33,.02,E,.18,M,198.51%,97.57%,2.43%,-.01,50,0.30%,,
,,243.84%,7.17%,92.83%,.97,2,<empty>,38.90,Q,42.05,Q,17 APR 25,34,.03,M,.13,M,185.90%,97.96%,2.04%,-.01,<empty>,0.24%,,
,,216.86%,5.17%,94.83%,.98,7,<empty>,37.95,Z,40.70,Z,17 APR 25,35,.03,E,.10,B,174.66%,98.26%,1.74%,-.01,58,0.19%,,
,,235.39%,8.03%,91.97%,.97,1,<empty>,37.10,J,40.00,Z,17 APR 25,36,.05,E,.15,M,178.92%,97.55%,2.45%,-.01,13,0.28%,,
,,162.97%,1.77%,98.23%,.99,4,<empty>,35.95,Z,38.30,Q,17 APR 25,37,.05,M,.21,M,179.56%,97.00%,3.00%,-.01,4,0.35%,,
,,214.84%,7.43%,92.57%,.97,8,<empty>,35.80,P,37.20,Q,17 APR 25,38,.05,M,.23,M,175.38%,96.80%,3.20%,-.01,5,0.37%,,
,,207.41%,7.43%,92.57%,.97,1,<empty>,34.85,I,36.15,P,17 APR 25,39,.11,M,.18,B,170.13%,96.70%,3.30%,-.02,43,0.37%,,
,,184.33%,5.50%,94.50%,.97,17,<empty>,33.55,P,35.15,P,17 APR 25,40,.10,E,.21,D,165.85%,96.51%,3.49%,-.02,630,0.39%,,
,,201.74%,8.62%,91.38%,.96,1,<empty>,32.80,P,34.40,P,17 APR 25,41,.14,M,.45,M,178.95%,94.34%,5.66%,-.03,3,0.72%,,
,,176.59%,6.21%,93.79%,.97,21,<empty>,31.30,J,33.50,S,17 APR 25,42,.20,D,.30,M,167.36%,94.95%,5.05%,-.03,30,0.60%,,
,,196.86%,10.04%,89.96%,.95,3,<empty>,31.00,P,32.45,P,17 APR 25,43,.17,E,.37,E,163.63%,94.61%,5.39%,-.03,46,0.63%,,
,,166.15%,6.61%,93.39%,.97,2,<empty>,29.50,I,31.35,P,17 APR 25,44,.15,M,.41,M,158.68%,94.42%,5.58%,-.03,27,0.64%,,
,,168.39%,7.91%,92.09%,.96,15,<empty>,28.50,P,30.55,B,17 APR 25,45,.22,E,.35,M,153.30%,94.29%,5.71%,-.03,"1,921",0.64%,,
,,167.61%,8.86%,91.14%,.95,6,<empty>,27.75,S,29.45,N,17 APR 25,46,.21,E,.48,U,153.17%,93.39%,6.61%,-.04,45,0.76%,,
,,166.27%,9.78%,90.22%,.95,<empty>,<empty>,26.90,P,28.45,I,17 APR 25,47,.13,E,.47,B,143.21%,93.94%,6.06%,-.03,284,0.64%,,
,,154.92%,9.02%,90.98%,.95,1,<empty>,25.65,P,27.55,I,17 APR 25,48,.42,E,.52,N,151.22%,91.61%,8.39%,-.05,36,0.99%,,
,,193.49%,17.10%,82.90%,.91,10,<empty>,25.25,N,27.70,X,17 APR 25,49,.53,E,.61,E,151.86%,90.32%,9.68%,-.06,201,1.18%,,
,,134.12%,7.66%,92.34%,.95,165,<empty>,23.85,S,25.10,N,17 APR 25,50,.62,B,.68,X,150.57%,89.30%,10.70%,-.06,"4,364",1.32%,,
,,157.65%,19.66%,80.34%,.88,765,<empty>,19.35,X,21.95,X,17 APR 25,55,1.08,E,1.16,E,141.36%,83.76%,16.24%,-.11,"4,435",2.08%,,
,,129.72%,18.03%,81.97%,.88,623,<empty>,17.50,X,18.15,S,17 APR 25,57.5,1.41,E,1.53,E,137.78%,80.13%,19.87%,-.13,773,2.62%,,
,,137.16%,24.61%,75.39%,.83,82,<empty>,15.90,M,16.30,M,17 APR 25,60,1.82,M,1.92,T,133.37%,76.22%,23.78%,-.17,"9,257",3.22%,,
,,128.90%,28.13%,71.87%,.79,221,<empty>,13.75,M,14.15,X,17 APR 25,62.5,2.36,M,2.46,E,130.40%,71.55%,28.45%,-.21,"1,287",4.01%,,
,,126.63%,33.37%,66.63%,.75,270,<empty>,12.05,M,12.20,B,17 APR 25,65,2.95,M,3.10,M,126.72%,66.61%,33.39%,-.25,"5,708",4.88%,,
,,123.34%,38.77%,61.23%,.70,159,<empty>,10.25,S,10.50,M,17 APR 25,67.5,3.70,B,3.85,M,123.49%,61.21%,38.79%,-.30,"3,853",5.92%,,
,,120.03%,44.47%,55.53%,.64,986,<empty>,8.65,M,8.85,M,17 APR 25,70,4.55,M,4.70,M,119.76%,55.56%,44.44%,-.36,"8,700",7.07%,,
,,116.52%,50.38%,49.62%,.58,"1,308",<empty>,7.15,M,7.35,B,17 APR 25,72.5,5.60,N,5.70,M,116.78%,49.60%,50.40%,-.42,"6,105",8.45%,,
,,112.68%,56.43%,43.57%,.52,"3,213",<empty>,5.80,E,5.95,B,17 APR 25,75,6.70,M,6.90,M,113.45%,43.55%,56.45%,-.48,"6,827",9.97%,,
,,111.74%,58.87%,41.13%,.49,708,<empty>,5.35,M,5.45,P,17 APR 25,76,7.20,U,7.35,M,111.64%,41.13%,58.87%,-.51,"2,061",10.59%,,
,,110.37%,61.30%,38.70%,.47,981,<empty>,4.85,M,5.00,M,17 APR 25,77,7.70,S,7.90,B,110.29%,38.70%,61.30%,-.53,"1,395",11.27%,,
,,109.75%,62.51%,37.49%,.46,287,<empty>,4.65,M,4.75,B,17 APR 25,77.5,8.00,B,8.20,M,110.12%,37.50%,62.50%,-.54,"1,074",11.67%,,
,,109.00%,63.72%,36.28%,.44,798,<empty>,4.40,S,4.55,M,17 APR 25,78,8.25,M,8.45,M,108.94%,36.28%,63.72%,-.56,"1,122",11.99%,,
,,107.18%,66.14%,33.86%,.42,367,<empty>,3.95,M,4.10,M,17 APR 25,79,8.85,B,9.05,B,108.06%,33.92%,66.08%,-.58,485,12.78%,,
,,105.81%,68.51%,31.49%,.39,"5,002",<empty>,3.55,M,3.70,C,17 APR 25,80,9.40,M,9.65,M,106.27%,31.53%,68.47%,-.61,"7,435",13.52%,,
,,104.93%,70.79%,29.21%,.36,329,<empty>,3.20,M,3.35,M,17 APR 25,81,10.05,M,10.25,M,104.94%,29.21%,70.79%,-.64,683,14.33%,,
,,103.39%,73.08%,26.92%,.34,"1,072",<empty>,2.86,M,2.97,B,17 APR 25,82,10.65,M,10.95,B,103.62%,26.95%,73.05%,-.66,422,15.17%,,
,,101.74%,75.34%,24.66%,.31,773,<empty>,2.48,E,2.67,U,17 APR 25,83,11.40,B,11.65,M,103.34%,24.90%,75.10%,-.68,557,16.12%,,
,,101.14%,77.37%,22.63%,.29,477,<empty>,2.25,Z,2.37,B,17 APR 25,84,12.10,B,12.30,M,101.58%,22.71%,77.29%,-.71,238,16.99%,,
,,99.77%,79.43%,20.57%,.26,"3,950",<empty>,1.97,M,2.09,S,17 APR 25,85,12.80,S,13.05,B,100.37%,20.68%,79.32%,-.73,"1,961",17.93%,,
,,99.23%,81.26%,18.74%,.24,291,<empty>,1.75,S,1.87,B,17 APR 25,86,13.55,S,13.80,M,99.23%,18.74%,81.26%,-.76,250,18.91%,,
,,98.00%,83.11%,16.89%,.22,849,<empty>,1.52,M,1.64,M,17 APR 25,87,14.35,B,14.60,M,98.80%,17.05%,82.95%,-.78,265,19.96%,,
,,97.00%,84.83%,15.17%,.20,628,<empty>,1.33,M,1.43,M,17 APR 25,88,15.00,M,15.60,M,98.58%,15.49%,84.51%,-.79,179,21.05%,,
,,96.44%,86.35%,13.65%,.18,"1,939",<empty>,1.16,M,1.27,M,17 APR 25,89,15.85,M,16.40,M,97.96%,13.97%,86.03%,-.81,109,22.13%,,
,,95.27%,87.89%,12.11%,.16,"5,335",<empty>,1.02,M,1.07,D,17 APR 25,90,16.70,M,17.10,M,95.45%,12.15%,87.85%,-.83,"1,879",23.12%,,
,,94.64%,89.21%,10.79%,.14,882,<empty>,.88,M,.94,M,17 APR 25,91,17.45,M,18.25,M,97.66%,11.41%,88.59%,-.84,65,24.40%,,
,,94.21%,90.39%,9.61%,.13,885,<empty>,.77,M,.82,M,17 APR 25,92,18.35,B,18.90,B,94.06%,9.58%,90.42%,-.86,62,25.38%,,
,,93.69%,91.49%,8.51%,.12,696,<empty>,.66,M,.72,M,17 APR 25,93,19.25,M,19.85,S,94.97%,8.76%,91.24%,-.87,87,26.62%,,
,,93.52%,92.43%,7.57%,.10,221,<empty>,.58,M,.63,M,17 APR 25,94,19.10,X,20.70,B,--,0.00%,100.00%,-1.00,29,26.86%,,
,,93.38%,93.27%,6.73%,.09,"4,076",<empty>,.51,U,.55,M,17 APR 25,95,21.00,N,21.60,P,92.11%,6.50%,93.50%,-.89,365,28.90%,,
,,93.29%,94.03%,5.97%,.08,444,<empty>,.44,M,.49,M,17 APR 25,96,21.05,Q,23.25,M,88.70%,5.17%,94.83%,-.91,64,29.99%,,
,,93.35%,94.68%,5.32%,.08,362,<empty>,.39,E,.43,P,17 APR 25,97,22.60,N,24.65,Z,111.49%,8.33%,91.67%,-.86,12,32.20%,,
,,93.35%,95.28%,4.72%,.07,355,<empty>,.34,E,.38,U,17 APR 25,98,22.30,Z,25.55,Z,--,0.00%,100.00%,-1.00,27,32.30%,,
,,93.61%,95.79%,4.21%,.06,"1,056",<empty>,.30,E,.34,U,17 APR 25,99,24.20,M,26.45,M,106.83%,6.23%,93.77%,-.89,6,34.37%,,
,,93.91%,96.23%,3.77%,.05,"5,868",<empty>,.27,E,.30,D,17 APR 25,100,25.35,S,26.50,S,--,0.00%,100.00%,-1.00,203,35.00%,,
,,97.61%,96.18%,3.82%,.06,328,<empty>,.20,X,.41,M,17 APR 25,101,26.15,S,28.10,Z,104.87%,4.82%,95.18%,-.90,6,36.72%,,
,,95.18%,96.91%,3.09%,.05,30,<empty>,.20,E,.27,B,17 APR 25,102,27.10,S,29.10,Z,107.18%,4.65%,95.35%,-.90,<empty>,38.02%,,
,,106.08%,95.94%,4.06%,.06,25,<empty>,.17,E,.56,B,17 APR 25,103,28.10,Q,30.05,Z,109.52%,4.50%,95.50%,-.90,1,39.33%,,
,,96.47%,97.45%,2.55%,.04,3,<empty>,.18,T,.21,B,17 APR 25,104,29.05,Z,31.05,Z,111.89%,4.37%,95.63%,-.89,<empty>,40.64%,,
,,97.31%,97.66%,2.34%,.04,835,<empty>,.16,M,.20,M,17 APR 25,105,30.15,Q,32.35,Z,124.25%,5.46%,94.54%,-.88,68,42.37%,,
,,111.86%,96.41%,3.59%,.06,4,<empty>,.12,Q,.57,M,17 APR 25,106,30.95,Q,33.00,Z,--,0.00%,100.00%,-1.00,11,43.19%,,
,,103.36%,97.61%,2.39%,.04,3,<empty>,.12,M,.28,M,17 APR 25,107,31.90,Q,34.00,Z,--,0.00%,100.00%,-1.00,<empty>,44.50%,,
,,103.58%,97.85%,2.15%,.03,2,<empty>,.08,E,.28,U,17 APR 25,108,33.00,Q,35.20,Q,128.28%,4.69%,95.31%,-.88,<empty>,46.14%,,
,,111.71%,97.35%,2.65%,.04,2,<empty>,.09,M,.41,Z,17 APR 25,109,34.00,Q,36.20,Z,131.79%,4.70%,95.30%,-.88,1,47.50%,,
,,102.84%,98.34%,1.66%,.03,672,<empty>,.10,M,.17,T,17 APR 25,110,35.35,T,36.55,S,--,0.00%,100.00%,-1.00,58,48.55%,,
,,104.17%,99.02%,0.98%,.02,453,<empty>,.07,M,.09,P,17 APR 25,115,40.05,Q,41.85,Q,--,0.00%,100.00%,-1.00,50,55.30%,,
,,110.59%,99.21%,0.79%,.01,464,<empty>,.06,N,.08,U,17 APR 25,120,44.05,Q,47.15,Q,--,0.00%,100.00%,-1.00,4,61.29%,,
,,114.95%,99.41%,0.59%,.01,837,<empty>,.05,N,.06,S,17 APR 25,125,49.05,Q,51.80,Q,--,0.00%,100.00%,-1.00,10,67.62%,,
,,111.97%,99.71%,0.29%,.01,75,<empty>,.01,B,.04,H,17 APR 25,130,53.90,Q,57.45,Q,--,0.00%,100.00%,-1.00,1,74.91%,,
,,118.52%,99.74%,0.26%,.01,950,<empty>,.01,D,.04,N,17 APR 25,135,59.10,Q,62.40,Q,--,0.00%,100.00%,-1.00,<empty>,81.82%,,
,,124.83%,99.76%,0.24%,.00,118,<empty>,.01,D,.04,P,17 APR 25,140,64.90,Q,66.90,Z,--,0.00%,100.00%,-1.00,<empty>,88.93%,,
,,127.87%,99.81%,0.19%,.00,29,<empty>,.01,P,.03,P,17 APR 25,145,69.40,Q,72.10,Z,--,0.00%,100.00%,-1.00,<empty>,95.29%,,
,,136.35%,99.79%,0.21%,.00,474,<empty>,.02,B,.03,N,17 APR 25,150,74.50,Z,76.75,Q,--,0.00%,100.00%,-1.00,<empty>,101.68%,,
,,139.04%,99.84%,0.16%,.00,3,<empty>,.01,Q,.03,Q,17 APR 25,155,79.55,Q,81.65,S,--,0.00%,100.00%,-1.00,<empty>,108.33%,,
,,147.10%,99.82%,0.18%,.00,31,<empty>,.01,U,.04,P,17 APR 25,160,84.65,Z,86.90,Z,--,0.00%,100.00%,-1.00,<empty>,115.56%,,
,,145.20%,99.89%,0.11%,.00,2,<empty>,.01,P,.02,N,17 APR 25,165,89.60,Q,92.05,Q,--,0.00%,100.00%,-1.00,<empty>,122.45%,,
,,149.88%,99.89%,0.11%,.00,20,<empty>,.01,N,.02,M,17 APR 25,170,94.35,Z,97.30,Z,--,0.00%,100.00%,-1.00,<empty>,129.19%,,
,,154.41%,99.90%,0.10%,.00,22,<empty>,.01,U,.02,N,17 APR 25,175,99.35,Q,102.10,Q,--,0.00%,100.00%,-1.00,<empty>,135.61%,,
,,166.42%,99.86%,0.14%,.00,15,<empty>,0,Q,.05,B,17 APR 25,180,104.35,Q,107.10,Q,--,0.00%,100.00%,-1.00,<empty>,142.34%,,
,,157.76%,99.94%,0.06%,.00,15,<empty>,0,H,.02,H,17 APR 25,185,109.45,Q,112.00,Q,--,0.00%,100.00%,-1.00,<empty>,149.07%,,

25 APR 25  (21)  100 (Weeklys)
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,171.75%,9.79%,90.21%,.96,2,<empty>,34.00,P,35.50,I,25 APR 25,40,.25,H,.53,E,154.23%,93.12%,6.88%,-.03,118,0.98%,,
,,153.06%,11.94%,88.06%,.94,<empty>,<empty>,29.00,P,30.90,P,25 APR 25,45,.33,E,.69,B,136.22%,91.42%,8.58%,-.05,133,1.15%,,
,,140.10%,15.72%,84.28%,.91,1,<empty>,23.60,X,27.05,X,25 APR 25,50,.81,E,1.02,S,129.81%,86.69%,13.31%,-.08,909,1.86%,,
,,109.58%,15.69%,84.31%,.90,33,<empty>,19.50,X,20.90,B,25 APR 25,55,1.26,B,1.94,E,125.38%,80.09%,19.91%,-.13,639,3.00%,,
,,121.42%,27.98%,72.02%,.81,12,<empty>,16.25,M,17.30,X,25 APR 25,60,2.31,B,2.40,D,115.86%,73.40%,26.60%,-.18,"96,835",4.09%,,
,,121.09%,29.85%,70.15%,.79,2,<empty>,14.60,X,17.50,X,25 APR 25,61,2.07,E,2.68,N,110.65%,72.74%,27.26%,-.19,147,4.05%,,
,,108.85%,28.88%,71.12%,.79,24,<empty>,14.30,M,15.15,B,25 APR 25,62,2.30,E,3.30,B,113.43%,69.98%,30.02%,-.21,130,4.73%,,
,,111.63%,31.68%,68.32%,.77,101,<empty>,13.65,M,14.70,E,25 APR 25,63,2.59,M,3.20,X,109.42%,68.86%,31.14%,-.23,116,4.82%,,
,,114.23%,34.37%,65.63%,.75,13,<empty>,13.30,B,14.00,B,25 APR 25,64,2.80,E,3.50,E,108.22%,66.98%,33.02%,-.24,51,5.18%,,
,,105.94%,34.70%,65.30%,.74,<empty>,<empty>,12.10,M,12.95,S,25 APR 25,65,3.35,M,3.65,Q,108.39%,64.76%,35.24%,-.26,"1,798",5.69%,,
,,112.44%,38.25%,61.75%,.72,<empty>,<empty>,11.75,B,12.80,X,25 APR 25,66,3.55,M,4.15,Z,108.18%,62.60%,37.40%,-.28,83,6.19%,,
,,115.34%,40.90%,59.10%,.69,11,<empty>,11.30,B,12.40,P,25 APR 25,67,4.00,M,4.35,Z,107.21%,60.56%,39.44%,-.30,89,6.65%,,
,,105.19%,41.32%,58.68%,.68,<empty>,<empty>,10.35,M,10.90,S,25 APR 25,68,4.50,N,4.75,B,107.93%,58.21%,41.79%,-.32,153,7.30%,,
,,104.79%,43.53%,56.47%,.66,22,<empty>,9.75,M,10.30,D,25 APR 25,69,4.00,M,5.10,M,100.18%,57.21%,42.79%,-.34,294,7.06%,,
,,103.31%,45.59%,54.41%,.64,35,<empty>,9.10,M,9.65,B,25 APR 25,70,5.20,E,5.45,E,105.24%,54.15%,45.85%,-.36,"5,664",8.23%,,
,,99.71%,47.44%,52.56%,.62,6,<empty>,8.10,M,9.10,C,25 APR 25,71,5.05,E,6.10,E,102.01%,52.29%,47.71%,-.38,273,8.52%,,
,,99.53%,49.75%,50.25%,.60,20,<empty>,7.65,E,8.50,A,25 APR 25,72,5.10,M,6.75,M,100.00%,50.20%,49.80%,-.40,321,8.97%,,
,,100.82%,52.15%,47.85%,.57,87,<empty>,7.45,M,7.90,B,25 APR 25,73,6.55,B,6.80,M,103.47%,47.65%,52.35%,-.43,403,10.06%,,
,,105.32%,54.62%,45.38%,.55,116,<empty>,7.20,P,7.85,M,25 APR 25,74,6.45,M,7.25,M,98.36%,45.74%,54.26%,-.45,"1,581",10.20%,,
,,103.44%,56.66%,43.34%,.53,558,<empty>,6.70,E,7.20,M,25 APR 25,75,7.50,E,7.70,M,101.16%,43.41%,56.59%,-.47,"1,528",11.28%,,
,,99.16%,58.71%,41.29%,.51,255,<empty>,6.05,M,6.40,B,25 APR 25,76,7.90,X,8.25,M,99.73%,41.28%,58.72%,-.49,259,11.89%,,
,,104.47%,60.78%,39.22%,.49,271,<empty>,5.70,M,6.70,M,25 APR 25,77,7.80,M,8.75,M,94.12%,39.07%,60.93%,-.52,555,12.04%,,
,,98.54%,62.93%,37.07%,.46,245,<empty>,5.30,U,5.50,B,25 APR 25,78,8.35,E,9.50,M,94.55%,36.92%,63.08%,-.54,310,12.92%,,
,,97.60%,65.00%,35.00%,.44,111,<empty>,4.85,E,5.10,E,25 APR 25,79,9.60,M,9.95,B,97.56%,35.00%,65.00%,-.56,190,14.12%,,
,,96.37%,67.06%,32.94%,.42,773,<empty>,4.40,E,4.70,E,25 APR 25,80,10.25,B,10.45,B,96.34%,32.94%,67.06%,-.58,"2,368",14.86%,,
,,91.51%,69.49%,30.51%,.39,62,<empty>,3.45,E,4.35,M,25 APR 25,81,9.85,E,11.40,M,90.39%,30.39%,69.61%,-.62,185,15.10%,,
,,94.42%,71.06%,28.94%,.37,182,<empty>,3.70,D,3.90,P,25 APR 25,82,11.45,M,11.90,M,95.57%,29.08%,70.92%,-.63,158,16.60%,,
,,91.83%,73.22%,26.78%,.34,108,<empty>,3.15,E,3.55,U,25 APR 25,83,11.65,E,12.50,M,90.72%,26.62%,73.38%,-.66,144,17.03%,,
,,91.80%,74.98%,25.02%,.32,104,<empty>,2.88,E,3.30,M,25 APR 25,84,12.05,E,13.05,S,86.48%,24.13%,75.87%,-.69,101,17.56%,,
,,91.97%,76.63%,23.37%,.31,891,<empty>,2.75,E,2.97,E,25 APR 25,85,13.15,B,13.80,M,89.09%,22.87%,77.13%,-.70,460,18.84%,,
,,93.13%,78.02%,21.98%,.29,116,<empty>,2.54,B,2.87,M,25 APR 25,86,13.40,X,14.85,B,86.93%,20.82%,79.18%,-.73,142,19.65%,,
,,90.86%,79.94%,20.06%,.27,53,<empty>,2.19,E,2.53,M,25 APR 25,87,14.75,E,15.50,B,90.47%,19.98%,80.02%,-.73,34,21.04%,,
,,90.91%,81.37%,18.63%,.25,124,<empty>,2.07,B,2.27,M,25 APR 25,88,15.45,E,16.70,E,93.06%,19.04%,80.96%,-.74,245,22.35%,,
,,85.25%,83.94%,16.06%,.22,58,<empty>,1.13,E,2.25,M,25 APR 25,89,16.05,X,17.10,B,87.20%,16.49%,83.51%,-.78,45,22.89%,,
,,89.85%,84.23%,15.77%,.22,798,<empty>,1.66,S,1.88,M,25 APR 25,90,16.60,E,17.70,M,81.78%,13.95%,86.05%,-.81,221,23.54%,,
,,87.33%,85.98%,14.02%,.19,62,<empty>,1.31,E,1.68,M,25 APR 25,91,16.75,X,19.20,M,80.93%,12.53%,87.47%,-.83,26,24.61%,,
,,81.48%,88.46%,11.54%,.16,72,<empty>,.75,E,1.45,M,25 APR 25,92,18.15,X,19.65,B,82.11%,11.69%,88.31%,-.84,25,25.85%,,
,,86.93%,88.26%,11.74%,.16,500,<empty>,1.14,E,1.30,U,25 APR 25,93,18.10,X,21.15,E,78.05%,9.67%,90.33%,-.86,33,26.75%,,
,,89.22%,88.74%,11.26%,.16,152,<empty>,1.03,E,1.38,E,25 APR 25,94,20.60,B,22.00,E,96.88%,12.83%,87.17%,-.81,21,29.30%,,
,,89.04%,89.69%,10.31%,.15,558,<empty>,.98,E,1.20,E,25 APR 25,95,21.25,B,22.25,B,86.87%,9.84%,90.16%,-.85,27,29.69%,,
,,86.63%,91.05%,8.95%,.13,65,<empty>,.80,E,1.00,E,25 APR 25,96,20.85,X,23.25,E,66.89%,4.59%,95.41%,-.92,10,29.82%,,
,,87.63%,91.63%,8.37%,.12,70,<empty>,.80,P,.90,E,25 APR 25,97,23.00,E,24.45,E,91.69%,9.20%,90.80%,-.86,9,32.38%,,
,,87.63%,92.35%,7.65%,.11,319,<empty>,.72,E,.82,M,25 APR 25,98,23.20,X,25.15,N,77.41%,5.57%,94.43%,-.90,19,32.75%,,
,,93.93%,91.82%,8.18%,.12,63,<empty>,.65,S,1.17,E,25 APR 25,99,24.35,S,26.55,S,89.29%,7.30%,92.70%,-.88,4,34.60%,,
