index,sentence,context,regex_matches,fuzzy_matches,semantic_matches,cluster_label,match_category
6166,I,"The  Eroico 
Furioso  makes 
he  valet  like 
miling. I ^he  hyper  ape  the 
hink  he  groves  the 
2oleyou  see  nowfor 
-ush  sake^  chaw  ley/",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
6195,ing.,"Hoploits  and 
atthems. ing. Hoots  fromm,  we're  globing.",,cross dressing(86),,4,role
6226,m,"272 m Curragh 
machree,  me 
bosthoon  fiend,",,gender reassignment(100); become a woman(100); become a man(100); born a woman(100); born a man(100); hermaphrodite(100); manhood(100); womanhood(100); dressed as a man(100); dressed as a woman(100); ladyman(100); mannish(100); woman-man(100); man-woman(100); ambiguous gender(100),,7,"physical, role"
6284,it,274 it l0,,hermaphrodite(100); two-spirit(100); switching roles(100),,3,"physical, role"
6286,m,"l0 m ,1 
h",,gender reassignment(100); become a woman(100); become a man(100); born a woman(100); born a man(100); hermaphrodite(100); manhood(100); womanhood(100); dressed as a man(100); dressed as a woman(100); ladyman(100); mannish(100); woman-man(100); man-woman(100); ambiguous gender(100),,0,"physical, role"
6349,I,276 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,2,"physical, role"
6350,I,I I t,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
6351,t,"I t Why  so  mucky 
pick  bridges 
pan  our  Flumi- 
\ian  road,",,transsexual(100); gender reassignment(100); hermaphrodite(100); intersex(100); both sexes(100); two-spirit(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
6541,i,"282 i Non  plus  ulstra, 
Elba,  neCy  c  as  hel- 
ium tuum.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
6635,w,1 w J/ ill,,become a woman(100); born a woman(100); womanhood(100); dressed as a woman(100); woman-man(100); man-woman(100); two-spirit(100); switching roles(100); wearing the other's clothes(100),,3,"physical, role"
6730,i,"292 i teralterance  or 
e  Interplay  of 
ones  in  the 
'^omb.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,2,"physical, role"
6861,hi,"jlm hi Destiny i  In- 
fluence of Design 
upon.",,switching roles(100),,3,role
6971,I,300 I Ik,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
6974,hi,"I 
I hi h 
kl",,switching roles(100),,3,role
7016,man.,"Ensouling  Fe- 
male Sustains man. tions,  quoths  the  Bhagavat  biskop  Leech)  Ann 
opes  tipoo  soon  ear!",,become a woman(86); become a man(86); born a woman(86); born a man(86); dressed as a man(86); dressed as a woman(86); ladyman(86),,4,"physical, role"
7054,n,"Conception  of  the 
Compromise  and 
Finding  of  a 
Formula, n Ideal  Present 
Alone  Produces 
Real  Future,",,sex change(100); changing sex(100); change of sex(100); transsexual(100); gender reassignment(100); become a woman(100); become a man(100); born a woman(100); born a man(100); intersex(100); manhood(100); womanhood(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); ladyman(100); mannish(100); woman-man(100); man-woman(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
7281,Ni,Ockt Ni Geg2,,mannish(100),,4,role
7312,f,>00 f 7^,,change of sex(100),,3,physical
7374,I,.1 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
7375,I,I I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
7376,I,I I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
7377,i,I i (,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
7386,-,"Godeown  moseys  and  skeep  thy  beeble 
bee! - —",,cross-dress(100); woman-man(100); man-woman(100); boy-girl(100); she-he(100); two-spirit(100),,3,role
7437,i,"And  they  addled,  (or 
ere  the  cry  of  their  tongues  would  be  uptied  dead)  Shufflebotham 
asidled,  plus  his  ducks  fore  his  drills,  an  inlay  of  a  liddle  more 
lining  maught  be  licensed  all  at  ones,  be  these  same  tokens,  for- 
giving a  brass  rap,  sneither  a  whole  length  nor  a  short  shift  so 
full  as  all  were  concerned. i Burniface,  shjply  efter,  shoply  after,  at  an  angle  of  lag,  let  flow, 
brabble  brabble  and  brabble,  and  so  hostily,  heavyside  breathing, 
came  up  with  them  and,  check  me  joule,  shot  the  three  tailors, 
butting  back  to  Moyle  herring,  bump  as  beam  and  buttend,  roller  i'  ^^Ta  iji^ 
and  reiter,  after  the  diluv's  own  deluge,  the  seasant  samped  as 
skibber  breezed  in,  tripping,  dripping,  threw  the  sheets  in  the 
wind,  the  tights  of  his  trunks  at  tickle  to  tackle  and  his  rubmelucky 
truss  rehorsing  the  pouffed  skirts  of  his  overhawl.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
7550,I,318 I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
7551,i,I i i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
7552,i,i i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,2,"physical, role"
7553,I,i I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
7554,i,I i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
7555,I,i I 4,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,10,"physical, role"
7672,I,"322 I on  the  bummell,  tlie  bugganeering  wanderducken,  he  sazd,  (that 
his  pumps  may  ship  awhoyle  shandymound  of  the  dussard),  the 
coarsehair  highsaydighsayman,  there's  nice  tugs  he  looks,  (how 
you  was,  Ship  Alouset?)",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
7696,As,Underbund  was  overraskelled. As —,,gender reassignment(100); dressed as a man(100); dressed as a woman(100),,3,"physical, role"
7722,I,324 I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
7723,i,I i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
7724,I,i I tials.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
7781,I,328 I III,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
7845,I,330 I II,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
7949,i,^ i .4^'  AT,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
8173,i,340 i aureolies.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
8232,y,"342 y malaise  after  the  pognency  of  orangultoniay  orients  by  way  of  Sagit- 
tarius towards  Draco  on  the  Lour),  And  you  collier  carsst  on  him, 
the  corsar,  with  Boyle,  Burke  and  Campbell,  I'll  gogemble  on 
strangbones  tomb.",,ladyman(100); boy-girl(100); androgyny(100); androgynous(100); gender identity(100),,3,role
8268,I,"II I then  the  way  I  immingled  my  Irmenial  hairmaierians  ammon- 
gled  his  Gospolis  fomiliours  till,  achaura  moucreas,  I  adn't  the 
arts  to.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
8321,I,346 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
8322,I,I I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
8323,i,"I i of  another  time,  a  white  horsday  where  the  midril  met  the  bulg, 
sbogom,  roughnow  along  about  the  first  equinarx  in  the  cholon- 
der,  on  the  plain  of  Khorason  as  thou  goest  from  the  mount  of 
Bekel,  Steep  Nemorn,  elve  hundred  and  therety  and  to  years 
how  the  krow  flees  end  in  deed,  after  a  power  of  skimiskes, 
blodidens  and  godinats  of  them,  when  we  sight  the  beasts,  (heg- 
heg  whatlk  of  wraimy  wetter!",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
8373,"[In  the  heliotropical  noughttime  following  a  fade  of  <mark>trans</mark>- 
formed Tuff  and,  pending  its  viseversion,  a  metenergic  reglow 
of  beaming  Batt,  the  hairdhoard  bombardment  screen,  if  taste- 
fully taut  guranium  satin,  tends  to  teleframe  and  step  up  to 
the  charge  of  a  light  barricade.","Sing  in 
the  chorias  to  the  ethur: [In  the  heliotropical  noughttime  following  a  fade  of  trans- 
formed Tuff  and,  pending  its  viseversion,  a  metenergic  reglow 
of  beaming  Batt,  the  hairdhoard  bombardment  screen,  if  taste- 
fully taut  guranium  satin,  tends  to  teleframe  and  step  up  to 
the  charge  of  a  light  barricade. Down  the  photoslope  in  syncopanc 
pulses,  with  the  bitts  bugtwug  their  teffs,  the  missledhropes, 
glitter aglatteraglutt,  borne  by  their  carnier  waive.",trans,,,2,general
8408,r,ll r I,,transsexual(100); gender reassignment(100); born a woman(100); born a man(100); hermaphrodite(100); intersex(100); cross-dress(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
8409,I,r I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
8410,I,"I I us  victorias  with  nowells  and  brownings,  dumm,  sneak  and 
curry,  and  all  the  fun  I  had  in  that  fanagan's  week.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
8466,I,II I t-,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
8468,I,t- I of  sin  praktice  in  failing  to  furrow  theogonies  of  the  dommed).,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,10,"physical, role"
8511,i,354 i i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
8512,i,"i i i 
I",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
8563,I,"356 I iennes  and  our  findest  grobsmid  among  all  dieir  orefices,  (and, 
shukar  in  chowdar,  so  splunderdly  English!)",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
8604,I,") I hod's  fush,  3)  all  ever  the  pelican  huntered  with  truly  fond  bull- 
pen backthought  since  his  toork  human  life  where  his  personal 
low  outhired  his  taratoryism,  the  orenore  under  the  self  hide  of  his 
bessermettle,  was  forsake  in  his  chiltern  and  lumbojumbo,  4)  he 
was  like  Fintan  fore  flood  and  after  sometimes  too  damned 
merely  often  on  the  saved  side,  saw  he  was,  5)  regarding  to 
prussyattes  or  quazzyverzing  he  wassand  no  better  than  he  would 
have  been  before  he  could  have  been  better  than  what  he  warrant 
after,  6)  blood,  musk  or  haschish,  as  coked,  diamoned  or  pence- 
loid,  and  bleaching  him  naclenude  from  all  cohlorine  matter, 
down  to  a  boneash  bittstoff,  he's,  tink  fors  tank,  the  same  old 
dustamount  on  the  same  old  tincoverdull  baubleclass,  totstitty- 
winktosser  and  bogusbagwindburster,  whether  fitting  tyres  onto 
Danelope  boys  or  fluttering  flaus  for  laurettas,  whatever  the 
bucket  brigade  and  the  plug  party  says,  touchant  Arser  of  the 
Rum  Tipple  and  his  camelottery  and  lyonesslooting  but  with  a 
layaman's  brutstrenth,  by  Jacohob  and  Esahur  and  the  all  saults 
or  all  sallies,  what  we  warn  to  hear,  jeff"",  is  the  woods  of  chirpsies 
cries  to  singaloo  sweecheeriode  and  sock  him  up,  the  oldcant 
rogue.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
8731,The,them  newnesboys  pearcin  screaming  off  their  armsworths. The boss  made  dovesandraves  out  of  his  bucknesst  while  herself  i^^^TiXifyrclu^,,wearing the other's clothes(100),,3,role
8760,The,Meggy  Guggy's  giggag. The 363,,wearing the other's clothes(100),,3,role
8790,i,"364 i for  further  oil  mircles  upon  all  herwayferer  gods  and  reanounc- 
ing  my  deviltries  as  was  I  a  locally  person  of  caves  until  I  got  my 
purchase  on  her  firmforhold  I  am,  I  like  to  think,  by  their  sacre- 
ligion  of  daimond  cap  daimond,  confessedly  in  my  baron  gentil- 
homme  to  the  manhor  bourne  till  ladiest  day  as  panthoposopher, 
to  have  splet  for  groont  a  peer  of  bellows  like  Bacchulus  shakes  a 
rousing  guttural  at  any  old  cerpaintime  by  peaching  (allsole  we 
are  not  amusical)  the  warry  warst  against  myself  in  the  defile  as 
a  lieberretter  sebaiscopal  of  these  mispeschyites  of  the  first  virgi- 
nial  water  who,  without  an  auction  of  biasement  from  my  part, 
with  gladyst  tone  ahquickyessed  in  it,  overhowe  and  under- 
where,  the  totty  lolly  poppy  flossy  conny  dollymaukins.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
8826,r,366 r mim.,,transsexual(100); gender reassignment(100); born a woman(100); born a man(100); hermaphrodite(100); intersex(100); cross-dress(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,2,"physical, role"
9131,"The  wholes 
poors  riches  of  ours  hundreds  of  <mark>manhood</mark>s  and  womhoods.","But  we'll  wake  and  see. The  wholes 
poors  riches  of  ours  hundreds  of  manhoods  and  womhoods. Two      ^  ^yiiAJj<- 
cents,  two  mills  and  two  myrds.",,manhood(100),,2,physical
9218,p,■rrr  i^f p greeding.,,hermaphrodite(100); two-spirit(100),,3,"physical, role"
9398,I,"380 I mud,  as  best  they  cud,  on  footback,  owing  to  the  leak  of  the 
McCarthy's  mare,  in  extended  order,  a  tree's  length  from  the 
longest  way  out,  down  the  switchbackward  slidder  of  the  land- 
sown  route  of  Hauburnea's  liveliest  vinnage  on  the  brain,  the  ^ 
unimportant  Parthalonians  with  the  mouldy  Firbolgs  and  the 
Tuatha  de  Danaan  googs  and  the  ramblers  from  Clane  and  all 
the  rest  of  the  notmuchers  that  he  did  not  care  the  royal  spit  out  \m 
of  his^stensible  mouth  about,  well,  what  do  you  think  he  did, 
sir,  but,  faix^  he  just  went  heeltapping  through  the  winespilth 
and  weevily  popcorks  that  were  kneedeep  round  his  own  right  ^^^jL«^ 
royal  round  rollicking  toper's  table,  with  his  old  Roderick  Ran-  f 
dom  pullon  hat  at  a  Lanty  Leary  cant  on  him  and  Mike  Brady's 
shirt  and  Greene's  linnet  collarbow  and  his  Ghenter's  gaunts  and 
his  Macclefield's  swash  and  his  readymade  Reillys  and  his  pan- 
prestuberian  poncho,  the  body  you'd  pity  him,  the  way  the  world 
is,  poor  he,  the  heart  of  Midleinster  and  the  supereminent  lord  of  ^ 
them  all,  overwhelmed  as  he  was  with  black  ruin  like  a  sponge 
out  of  water,  allocutioning  in  bellcantos  to  his  own  oliverian 
society  MacGuiney's  Dreans  of  Ergen  Adams  and  thruming 
through  all  to  himself  with  diversed  tonguesed  through  his  old 
tears  and  his  ould  plaised  drawl,  starkened  by  the  most  regal  of 
belches,  like  a  blurney  Cashelmagh  crooner  that  lerking  Clare 
air,  the  blackberd's  ballad  Pve  a  terrible  errible  lot  todue  todie 
todue  tootorribleday^  well,  what  did  he  go  and  do  at  all.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
9446,I,384 I (,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
9448,f,( f I,,change of sex(100),,1,physical
9449,I,"f I cuddling  and  kiddling  her^  after  an  oyster  supper  in  CuUen's  barn, 
from  under  her  mistlethrush  and  kissing  and  listening,  in  the  good 
old  bygone  days  of  Dion  Boucicault,  the  elder,  in  Arrah-na- 
pogue,  in  the  otherworld  of  the  passing  of  the  key  of  Two- 
tongue  Common,  with  Nush,  the  carrier  of  the  word,  and  with 
Mesh,  the  cutter  of  the  reed,  in  one  of  the  farback,  pitchblack 
centuries  when  who  made  the  world,  when  they  knew  O'Clery, 
the  man  on  the  door,  when  they  were  all  four  collegians  on  the 
nod,  neer  the  Nodderlands  Nurskery,  whiteboys  and  oakboys, 
peep  of  tim  boys  and  piping  tom  boys,  raising  hell  while  the  sin 
was  shining,  with  their  slates  and  satchels,  playing  Florian's  fables 
and  communic  suctions  and  vellicar  frictions  with  mixum  mem- 
bers, in  the  Queen's  Ultonian  colleges,  along  with  another  fellow, 
a  prime  number,  Totius  Quotius,  and  paying  a  pot  of  tribluts 
to  Boris  O'Brien,  the  buttler  of  Clumpthump,  two  looves,  two 
turnovers  plus  (one)  crown,  to  see  the  mad  dane  ating  his 
vitals.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
9505,I,388 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
9506,I,I I II,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
9535,Woman.,For  his  humple  pesition  in  odvices. Woman. Squash.,,become a woman(91); born a woman(91); dressed as a woman(91); man-woman(91),,3,"physical, role"
9569,I,"392 I smell  of  Shakeletin  and  scratchman  and  his  mouth  watering,  acid 
and  alkolic;  signs  on  the  salt,  and  so  now  pass  the  loaf  for  Christ 
sake.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
9612,"And 
pulHt  into  yourself,  as  on  manowoman  do  another !","And  plays  be  honest! And 
pulHt  into  yourself,  as  on  manowoman  do  another ! Candidately, 
everybody!",,man-woman(89),,7,role
9634,i,396 i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
9635,I,"i I maiden  name,  for  overflauwing,  by  the  dream  of  woman  the 
owneirist,  in  forty  lands.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
9656,p,"398 p And  no  damn  loutll  come  courting  thee  or  by  the  mother  of  the  Holy 
Ghost  there'' II  be  murder/",,hermaphrodite(100); two-spirit(100),,3,"physical, role"
9689,I,II I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
9690,I,I I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
9691,I,I I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
9692,I,I I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
9693,I,I I III,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
9695,I,III I Hark!,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
9745,r,"404 r letters,  relayed  wand  postchased,  multiply,  ay  faith,  and  plultiply !)",,transsexual(100); gender reassignment(100); born a woman(100); born a man(100); hermaphrodite(100); intersex(100); cross-dress(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
9843,i,408 i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
9844,I,i I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
9845,I,I I Wouldndom !,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
9975,u,"412 u thanks  to  force  of  destiny,  my  selary  as  a  paykelt  is  propaired, 
and  there  is  a  peg  under  me  and  there  is  a  turn  till  me.",,transsexual(100); androgynous(100); ambiguous gender(100),,5,"physical, role"
10044,"Nefersenless,  when  he  had  safely  looked  up  his  ovipository,  he 
loftet  hails  and  prayed:","Nor  to  Ba's  berial  nether,  thon 
sloghard,  this  oldeborre's  yaar  ablong  as  there's  a  khul  on  a  khat. Nefersenless,  when  he  had  safely  looked  up  his  ovipository,  he 
loftet  hails  and  prayed: May  he  me  no  voida  water!",,sexless(86),,2,role
